00705,AIBONITO,PR,18.14,-66.26,-7,1
00610,ANASCO,PR,18.28,-67.14,-7,1
00611,ANGELES,PR,18.28,-66.79,-7,1
00612,ARECIBO,PR,18.45,-66.73,-7,1
00601,ADJUNTAS,PR,18.16,-66.72,-7,1
00631,CASTANER,PR,18.19,-66.82,-7,1
00602,AGUADA,PR,18.38,-67.18,-7,1
00603,AGUADILLA,PR,18.43,-67.15,-7,1
00604,AGUADILLA,PR,18.43,-67.15,-7,1
00605,AGUADILLA,PR,18.43,-67.15,-7,1
00703,AGUAS BUENAS,PR,18.25,-66.10,-7,1
00704,AGUIRRE,PR,17.96,-66.22,-7,1
07675,WESTWOOD,NJ,40.98,-74.03,-7,1
07677,WOODCLIFF LAKE,NJ,41.02,-74.05,-7,1
07885,WHARTON,NJ,40.89,-74.58,-7,1
07981,WHIPPANY,NJ,40.82,-74.41,-7,1
07999,WHIPPANY,NJ,40.82,-74.41,-7,1
08888,WHITEHOUSE,NJ,40.62,-74.76,-7,1
08889,WHITEHOUSE STATION,NJ,40.60,-74.76,-7,1
07095,WOODBRIDGE,NJ,40.55,-74.28,-7,1
07481,WYCKOFF,NJ,40.99,-74.16,-7,1
10451,BRONX,NY,40.84,-73.87,-7,1
10452,BRONX,NY,40.84,-73.87,-7,1
10453,BRONX,NY,40.84,-73.87,-7,1
10454,BRONX,NY,40.84,-73.87,-7,1
10455,BRONX,NY,40.84,-73.87,-7,1
10456,BRONX,NY,40.84,-73.87,-7,1
10457,BRONX,NY,40.84,-73.87,-7,1
10458,BRONX,NY,40.84,-73.87,-7,1
10459,BRONX,NY,40.84,-73.87,-7,1
10460,BRONX,NY,40.84,-73.87,-7,1
10461,BRONX,NY,40.84,-73.87,-7,1
10462,BRONX,NY,40.84,-73.87,-7,1
10463,BRONX,NY,40.84,-73.87,-7,1
10464,BRONX,NY,40.84,-73.87,-7,1
10465,BRONX,NY,40.84,-73.87,-7,1
10466,BRONX,NY,40.84,-73.87,-7,1
10467,BRONX,NY,40.84,-73.87,-7,1
10468,BRONX,NY,40.84,-73.87,-7,1
10469,BRONX,NY,40.84,-73.87,-7,1
10470,BRONX,NY,40.84,-73.87,-7,1
10471,BRONX,NY,40.84,-73.87,-7,1
10472,BRONX,NY,40.84,-73.87,-7,1
10473,BRONX,NY,40.84,-73.87,-7,1
10474,BRONX,NY,40.84,-73.87,-7,1
10475,BRONX,NY,40.84,-73.87,-7,1
10499,BRONX,NY,40.84,-73.87,-7,1
10001,NEW YORK,NY,40.71,-73.99,-7,1
10002,NEW YORK,NY,40.71,-73.99,-7,1
10003,NEW YORK,NY,40.71,-73.99,-7,1
10004,NEW YORK,NY,40.71,-73.99,-7,1
10005,NEW YORK,NY,40.71,-73.99,-7,1
10006,NEW YORK,NY,40.71,-73.99,-7,1
10007,NEW YORK,NY,40.71,-73.99,-7,1
10008,NEW YORK,NY,40.71,-73.99,-7,1
10009,NEW YORK,NY,40.71,-73.99,-7,1
10010,NEW YORK,NY,40.71,-73.99,-7,1
10011,NEW YORK,NY,40.71,-73.99,-7,1
10012,NEW YORK,NY,40.71,-73.99,-7,1
10013,NEW YORK,NY,40.71,-73.99,-7,1
10014,NEW YORK,NY,40.71,-73.99,-7,1
10016,NEW YORK,NY,40.71,-73.99,-7,1
10017,NEW YORK,NY,40.71,-73.99,-7,1
10018,NEW YORK,NY,40.71,-73.99,-7,1
10019,NEW YORK,NY,40.71,-73.99,-7,1
10020,NEW YORK,NY,40.71,-73.99,-7,1
10021,NEW YORK,NY,40.77,-73.95,-7,1
10022,NEW YORK,NY,40.71,-73.99,-7,1
10023,NEW YORK,NY,40.71,-73.99,-7,1
10024,NEW YORK,NY,40.71,-73.99,-7,1
10025,NEW YORK,NY,40.71,-73.99,-7,1
10026,NEW YORK,NY,40.71,-73.99,-7,1
10027,NEW YORK,NY,40.71,-73.99,-7,1
10028,NEW YORK,NY,40.71,-73.99,-7,1
10029,NEW YORK,NY,40.71,-73.99,-7,1
10030,NEW YORK,NY,40.71,-73.99,-7,1
10031,NEW YORK,NY,40.71,-73.99,-7,1
10032,NEW YORK,NY,40.71,-73.99,-7,1
10033,NEW YORK,NY,40.71,-73.99,-7,1
10034,NEW YORK,NY,40.71,-73.99,-7,1
00613,ARECIBO,PR,18.45,-66.73,-7,1
00614,ARECIBO,PR,18.45,-66.73,-7,1
00714,ARROYO,PR,17.97,-66.06,-7,1
00616,BAJADERO,PR,18.40,-66.66,-7,1
00617,BARCELONETA,PR,18.45,-66.53,-7,1
00794,BARRANQUITAS,PR,18.18,-66.30,-7,1
00622,BOQUERON,PR,17.99,-67.15,-7,1
00623,CABO ROJO,PR,18.08,-67.14,-7,1
00627,CAMUY,PR,18.48,-66.84,-7,1
00729,CANOVANAS,PR,18.37,-65.90,-7,1
00979,CAROLINA,PR,18.40,-65.98,-7,1
